Date,Open,High,Low,Close,Volume
2009-07-09,31.86,32.42,31.73,32.11,1347437
2009-07-10,32.89,33.91,32.64,33.67,1401741
2009-07-13,33.74,34.36,33.2,34.31,802646
2009-07-14,34.25,35.1,34.08,35.0,765911
2009-07-15,35.44,35.95,35.06,35.89,974303
2009-07-16,35.84,36.86,35.74,36.64,917083
2009-07-17,36.52,36.74,36.3,36.49,505682
2009-07-20,36.89,38.19,36.75,38.15,1002676
2009-07-21,38.56,38.65,37.53,38.03,853048
2009-07-22,37.15,38.23,36.28,37.88,702776
2009-07-23,37.97,39.56,37.76,39.32,1051689
2009-07-24,39.23,39.62,38.69,39.14,780400
2009-07-27,39.2,39.85,38.93,39.79,783835
2009-07-28,39.59,39.82,39.0,39.55,533700
2009-07-29,39.42,39.66,38.7,39.06,563216
2009-07-30,39.64,40.12,39.34,39.62,642112
2009-07-31,39.48,40.28,39.35,40.15,616725
2009-08-03,40.56,41.39,40.18,41.19,1080515
2009-08-04,40.92,41.56,40.52,41.4,516364
2009-08-05,41.32,41.56,40.63,41.19,612103
2009-08-06,41.58,41.85,40.79,41.02,1716409
2009-08-07,41.53,42.5,41.53,42.38,701227
2009-08-10,42.14,42.4,41.51,42.0,564976
2009-08-11,41.63,41.75,40.81,41.3,555039
2009-08-12,41.33,41.99,41.31,41.77,953341
2009-08-13,41.78,42.04,41.07,42.04,1069273
2009-08-14,42.19,42.26,40.8,41.03,617355
2009-08-17,39.96,40.27,39.44,39.89,439681
2009-08-18,39.96,40.78,39.9,40.72,322779
2009-08-19,40.39,41.1,40.23,40.96,276849
2009-08-20,41.1,41.24,40.88,41.14,336164
2009-08-21,41.51,42.25,41.43,42.02,543014
2009-08-24,42.15,42.53,41.71,41.83,729628
2009-08-25,42.09,43.05,42.06,42.24,543539
2009-08-26,42.23,42.6,41.81,42.22,512446
2009-08-27,42.07,42.44,41.52,42.3,387212
2009-08-28,42.49,42.63,41.48,41.96,802205
2009-08-31,41.68,41.7,40.83,40.93,536407
2009-09-01,40.69,41.12,39.7,39.76,1014744
2009-09-02,40.41,40.41,39.67,39.67,959160
2009-09-03,39.91,40.08,39.49,39.88,552325
2009-09-04,39.92,40.56,39.58,40.45,404630
2009-09-08,40.79,41.02,40.4,40.55,336484
2009-09-09,40.77,41.55,40.33,41.25,386024
2009-09-10,41.48,41.48,40.33,40.95,434051
2009-09-11,41.15,41.3,40.5,40.76,361732
2009-09-14,40.5,41.04,40.22,41.0,269703
2009-09-15,40.96,41.51,40.96,41.4,390057
2009-09-16,41.44,42.57,41.42,42.43,520826
2009-09-17,42.47,42.51,41.66,42.41,499368
2009-09-18,42.48,42.96,42.07,42.43,544347
2009-09-21,42.04,42.55,41.64,42.28,613537
2009-09-22,42.87,42.98,42.41,42.55,517796
2009-09-23,42.53,42.92,42.24,42.5,765163
2009-09-24,42.66,42.95,41.82,42.3,1016719
2009-09-25,42.26,42.41,41.15,41.17,846530
2009-09-28,41.45,42.03,41.19,42.01,617678
2009-09-29,42.05,42.74,41.96,42.48,768682
2009-09-30,42.44,43.35,41.74,42.69,748215
2009-10-01,42.59,42.74,41.71,41.87,976115
2009-10-02,41.38,41.53,40.9,40.97,802333
2009-10-05,41.13,42.29,40.97,42.09,1051931
2009-10-06,42.49,43.19,42.4,42.72,671811
2009-10-07,42.72,42.77,41.99,42.33,568142
2009-10-08,42.75,44.28,42.75,43.94,1020545
2009-10-09,43.74,44.56,43.74,44.5,566466
2009-10-12,44.99,45.58,44.77,44.88,869890
2009-10-13,44.93,45.38,44.55,45.31,780309
2009-10-14,45.67,46.13,45.52,46.0,1025000
2009-10-15,45.96,46.0,45.54,45.84,625287
2009-10-16,45.46,45.77,44.97,45.75,711349
2009-10-19,45.93,46.56,45.6,46.44,708187
2009-10-20,46.6,46.75,45.87,46.34,1025080
2009-10-21,47.3,47.85,46.7,47.25,1442663
2009-10-22,47.25,48.31,47.09,47.91,904828
2009-10-23,48.02,48.62,47.05,47.31,1090575
2009-10-26,47.24,47.63,46.33,46.64,1625437
2009-10-27,46.84,46.94,45.79,46.07,1224585
2009-10-28,46.13,46.26,45.01,45.29,1478412
2009-10-29,45.52,46.25,45.52,45.7,1227834
2009-10-30,45.57,45.84,44.85,45.23,1685746
2009-11-02,45.32,45.82,44.6,45.15,1433653
2009-11-03,47.55,49.7,46.59,49.69,17520412
2009-11-04,49.48,49.49,48.37,48.45,5834252
2009-11-05,48.69,49.67,48.55,49.62,3074316
2009-11-06,49.58,49.75,48.7,49.19,1600508
2009-11-09,49.59,50.27,49.2,50.17,1929370
2009-11-10,50.17,50.6,49.59,50.17,1775890
2009-11-11,49.98,51.2,49.69,50.28,2060647
2009-11-12,50.17,50.32,49.53,49.81,1477309
2009-11-13,49.87,50.51,49.68,50.28,1173377
2009-11-16,50.51,51.19,50.47,51.19,985360
2009-11-17,51.11,51.11,50.28,50.44,993714
2009-11-18,50.36,50.36,49.7,49.84,1075250
2009-11-19,49.52,49.58,48.62,49.27,1950325
2009-11-20,49.07,49.41,48.55,48.95,1354607
2009-11-23,49.67,50.26,49.39,49.73,1028150
2009-11-24,49.83,49.88,49.29,49.72,733677
2009-11-25,49.72,50.02,49.33,50.0,808891
2009-11-27,48.62,49.25,48.5,48.73,635512
2009-11-30,48.66,48.78,48.12,48.57,1170180
2009-12-01,48.94,50.06,48.92,49.07,1310088
2009-12-02,48.83,50.19,48.74,49.75,1242318
2009-12-03,49.68,50.16,48.6,48.64,806533
2009-12-04,49.28,49.99,48.88,49.47,991568
2009-12-07,49.36,49.43,48.59,48.79,1463157
2009-12-08,48.55,49.31,47.99,49.02,2121549
2009-12-09,48.92,49.42,48.62,49.32,1454292
2009-12-10,49.62,49.86,49.3,49.61,1267541
2009-12-11,49.72,49.8,48.74,49.43,1602206
2009-12-14,49.75,49.81,49.41,49.67,911634
2009-12-15,49.36,50.29,49.33,50.15,1410215
2009-12-16,50.12,52.62,50.12,52.14,4620628
2009-12-17,51.8,51.8,50.74,50.86,2452952
2009-12-18,51.29,51.34,50.32,50.73,1369364
2009-12-21,51.01,51.28,50.78,51.14,2307312
2009-12-22,51.19,52.52,51.13,52.4,2497778
2009-12-23,52.47,53.34,52.29,52.95,3176885
2009-12-24,53.25,53.28,52.81,53.13,426486
2009-12-28,53.3,53.42,52.38,52.76,1041691
2009-12-29,52.9,53.02,51.85,52.11,4150593
2009-12-30,51.9,52.35,51.63,52.12,1231109
2009-12-31,52.24,52.24,51.39,51.51,1379354
2010-01-04,51.74,53.0,51.62,52.71,2032962
2010-01-05,52.59,53.55,52.17,53.48,2474038
2010-01-06,53.43,54.91,53.27,54.82,3035777
2010-01-07,54.62,57.07,54.53,56.75,4276309
2010-01-08,56.44,57.68,56.44,57.42,1441569
2010-01-11,57.57,57.68,56.53,57.07,1595260
2010-01-12,56.71,56.77,55.8,56.18,1208424
2010-01-13,56.41,56.95,56.0,56.71,1129227
2010-01-14,56.55,56.64,55.93,56.55,1430429
2010-01-15,56.45,56.65,55.44,55.74,1661145
2010-01-19,55.72,56.54,55.68,56.3,1349767
2010-01-20,55.74,55.81,55.0,55.54,1396293
2010-01-21,55.48,55.52,54.16,54.18,1973448
2010-01-22,54.03,54.28,53.2,53.33,1363496
2010-01-25,53.82,54.04,53.47,53.82,1522304
2010-01-26,53.38,54.25,53.15,53.31,1608577
2010-01-27,52.93,53.34,51.54,52.47,3563583
2010-01-28,52.62,52.88,51.37,51.39,1948375
2010-01-29,51.79,52.15,51.0,51.25,2658025
2010-02-01,51.57,52.34,51.21,52.23,1360394
2010-02-02,52.26,54.36,52.2,54.25,2981014
2010-02-03,54.82,57.36,54.69,56.34,5723894
2010-02-04,55.81,56.0,54.59,54.64,2338074
2010-02-05,54.57,54.73,52.76,54.43,2440331
2010-02-08,54.5,54.5,53.48,53.53,1676848
2010-02-09,54.29,54.59,53.47,54.22,1594739
2010-02-10,54.3,54.4,53.38,53.77,1067607
2010-02-11,53.68,54.36,53.26,54.11,1460588
2010-02-12,53.85,54.32,53.27,54.29,2179519
2010-02-16,54.78,54.89,54.13,54.87,1504426
2010-02-17,55.08,55.99,54.77,55.84,1309981
2010-02-18,55.88,56.6,55.52,56.36,2861671
2010-02-19,56.17,56.4,55.75,55.92,1126654
2010-02-22,55.98,56.26,55.57,56.22,1579038
2010-02-23,56.04,56.27,54.85,55.24,1138173
2010-02-24,55.26,56.24,54.94,56.14,1374173
2010-02-25,55.15,56.09,54.78,56.0,1230189
2010-02-26,56.21,57.5,56.04,57.25,2616875
2010-03-01,57.12,59.1,56.86,59.06,2434562
2010-03-02,59.21,59.9,58.6,58.78,1822522
2010-03-03,59.08,59.38,58.5,58.79,699044
2010-03-04,58.85,58.96,58.12,58.44,2478324
2010-03-05,58.89,59.51,58.44,59.09,2008237
2010-03-08,59.26,59.26,58.64,59.07,930201
2010-03-09,58.87,59.59,58.62,59.27,1023856
2010-03-10,59.18,59.5,58.63,59.38,980668
2010-03-11,59.15,59.21,58.46,58.83,1557043
2010-03-12,59.29,59.29,57.19,57.86,5307824
2010-03-15,58.16,58.49,56.5,57.62,3164130
2010-03-16,57.77,58.5,57.6,57.76,1578558
2010-03-17,57.93,58.65,57.93,58.44,1957558
2010-03-18,58.74,58.94,58.41,58.55,1536576
2010-03-19,58.96,59.35,58.03,58.07,2280529
2010-03-22,57.87,59.06,57.87,59.0,1469818
2010-03-23,59.19,59.98,59.0,59.9,3117233
2010-03-24,59.98,59.98,58.97,59.1,1369067
2010-03-25,59.55,59.55,57.91,57.92,1605739
2010-03-26,58.3,58.79,58.05,58.61,1872594
2010-03-29,59.05,59.43,58.14,58.34,1505553
2010-03-30,58.24,58.56,58.0,58.22,855077
2010-03-31,58.11,58.26,57.3,57.41,1268091
2010-04-01,57.81,58.26,57.46,58.0,1323393
2010-04-05,58.26,59.25,58.2,59.23,1313714
2010-04-06,58.94,59.75,58.8,59.72,969781
2010-04-07,59.62,59.69,58.97,59.37,1587827
2010-04-08,59.24,59.47,58.92,59.25,1233630
2010-04-09,59.5,60.73,59.44,60.42,2001260
2010-04-12,60.67,61.0,60.34,60.37,1327286
2010-04-13,60.35,61.25,60.1,61.07,1641321
2010-04-14,61.27,62.02,60.76,61.9,1687467
2010-04-15,61.71,62.1,61.12,61.22,1504461
2010-04-16,61.01,61.77,59.69,60.46,1791582
2010-04-19,60.44,60.85,59.6,60.47,967371
2010-04-20,60.96,61.88,60.96,61.74,2622089
2010-04-21,61.91,62.05,61.5,62.03,1503095
2010-04-22,61.63,63.01,60.99,63.0,1274398
2010-04-23,62.95,63.6,62.07,62.84,1650753
2010-04-26,63.13,64.14,62.92,63.3,2446779
2010-04-27,64.7,66.27,63.92,64.36,5054399
2010-04-28,64.38,65.09,63.5,64.6,3908205
2010-04-29,65.21,65.5,64.72,65.07,1884762
2010-04-30,64.99,64.99,62.13,62.15,3026025
2010-05-03,62.75,63.55,62.2,63.31,2383707
2010-05-04,62.44,62.51,61.03,61.43,2004279
2010-05-05,61.02,61.42,59.76,60.01,2071017
2010-05-06,59.7,60.98,55.75,58.42,3211754
2010-05-07,58.1,59.15,55.95,56.12,3467382
2010-05-10,59.69,61.27,59.03,61.23,3433108
2010-05-11,60.37,62.85,60.31,61.45,2812476
2010-05-12,61.88,63.13,61.73,62.61,2253899
2010-05-13,62.56,63.76,61.7,61.76,2886825
2010-05-14,61.38,61.5,59.66,60.33,1992212
2010-05-17,60.6,60.76,58.66,60.11,1716084
2010-05-18,60.96,61.47,58.86,59.04,2595713
2010-05-19,58.63,59.19,56.86,57.68,3155008
2010-05-20,56.3,56.34,53.42,54.22,4316707
2010-05-21,53.06,55.59,52.88,55.38,4374863
2010-05-24,55.39,55.45,54.36,54.5,2070894
2010-05-25,52.8,54.97,52.02,54.88,3242051
2010-05-26,55.23,56.45,54.44,54.84,2035100
2010-05-27,55.9,57.15,55.9,57.09,2301912
2010-05-28,56.77,56.77,55.24,55.79,1665888
2010-06-01,55.45,56.61,54.85,54.89,2122883
2010-06-02,55.06,57.32,54.76,57.25,2313638
2010-06-03,57.57,58.52,56.86,57.61,1621758
2010-06-04,56.57,56.76,54.85,55.07,3416640
2010-06-07,55.07,55.33,53.04,53.29,2454954
2010-06-08,53.5,54.31,53.07,54.14,1648031
2010-06-09,54.5,55.09,52.57,52.87,3125903
2010-06-10,53.97,54.3,53.4,54.08,3843753
2010-06-11,53.5,55.25,53.36,54.96,1487990
2010-06-14,55.61,56.55,55.11,55.31,1519321
2010-06-15,55.45,57.42,55.42,57.3,2095439
2010-06-16,56.67,57.15,56.2,56.82,1284012
2010-06-17,57.04,57.14,55.21,55.63,2104629
2010-06-18,55.86,56.28,55.4,55.99,1833925
2010-06-21,57.11,57.11,54.96,55.27,1722321
2010-06-22,54.78,55.49,52.23,52.27,3616404
2010-06-23,52.09,52.61,50.74,52.18,4517553
2010-06-24,52.04,52.89,51.31,52.16,2235856
2010-06-25,52.3,52.4,51.1,52.06,2211673
2010-06-28,51.96,52.53,51.54,51.75,1274631
2010-06-29,51.35,51.35,49.67,50.42,3489762
2010-06-30,50.31,51.17,49.9,50.52,2882515
2010-07-01,50.34,50.61,48.76,50.12,3223246
2010-07-02,50.15,50.47,49.3,49.58,1528344
2010-07-06,50.06,50.75,49.01,49.62,1966845
2010-07-07,49.64,51.77,49.64,51.76,1707062
2010-07-08,52.4,52.44,50.57,51.4,2090979
2010-07-09,51.36,52.16,51.24,52.1,845087
2010-07-12,51.82,52.4,51.7,52.27,1319421
2010-07-13,53.0,54.35,52.64,54.03,1637919
2010-07-14,53.71,53.99,53.13,53.72,1056616
2010-07-15,53.66,53.66,51.96,53.0,2697990
2010-07-16,52.64,53.12,50.77,51.06,2086400
2010-07-19,51.25,51.93,51.0,51.73,1189861
2010-07-20,50.9,52.66,50.76,52.62,2439284
2010-07-21,55.4,56.0,52.8,53.63,4661016
2010-07-22,54.31,56.27,54.06,56.24,3449605
2010-07-23,56.12,57.93,55.51,57.35,2930983
2010-07-26,57.48,58.5,57.18,58.32,1813700
2010-07-27,58.43,58.61,56.63,56.81,1311709
2010-07-28,56.61,57.01,55.68,56.17,1354443
2010-07-29,56.62,57.58,56.49,57.23,2395040
2010-07-30,54.7,58.31,54.7,58.02,2357728
2010-08-02,59.05,59.23,58.42,59.05,2048015
2010-08-03,58.55,58.98,58.22,58.48,1234892
2010-08-04,58.6,59.4,58.37,58.5,1870511
2010-08-05,58.15,58.34,57.73,57.94,1214519
2010-08-06,57.21,58.29,57.01,57.88,1390414
2010-08-09,58.28,58.57,57.81,58.07,1275971
2010-08-10,57.34,58.17,56.84,57.73,1330548
2010-08-11,56.73,56.79,54.93,55.25,2436283
2010-08-12,54.31,54.99,54.15,54.82,1316982
2010-08-13,54.62,55.51,54.32,54.93,1238525
2010-08-16,54.46,55.3,54.12,55.12,1097639
2010-08-17,54.79,57.27,54.79,57.13,1768667
2010-08-18,57.15,57.3,56.45,57.13,1107997
2010-08-19,56.84,56.87,54.97,55.19,1163175
2010-08-20,54.64,55.22,54.5,55.05,1096672
2010-08-23,55.44,55.67,54.38,54.51,660802
2010-08-24,53.67,54.0,52.45,53.39,1511902
2010-08-25,52.89,53.86,52.32,53.66,1315534
2010-08-26,53.76,54.55,53.08,53.11,1458484
2010-08-27,53.56,54.55,52.8,54.51,916280
2010-08-30,54.36,54.78,53.41,53.43,679929
2010-08-31,53.26,54.05,52.75,53.64,1507334
2010-09-01,54.35,56.75,54.16,56.75,2453584
2010-09-02,57.09,57.7,56.96,57.35,1500219
2010-09-03,57.89,58.96,57.89,58.16,1383574
2010-09-07,57.71,58.02,57.3,57.45,818713
2010-09-08,57.5,58.67,57.5,58.58,1262143
2010-09-09,59.46,59.64,58.61,58.96,1476216
2010-09-10,59.2,59.8,58.99,59.29,1581982
2010-09-13,59.78,60.96,59.65,60.82,1714400
2010-09-14,60.51,61.11,60.33,60.97,1901626
2010-09-15,60.8,60.84,60.11,60.5,1495795
2010-09-16,59.82,60.67,58.9,59.3,2253340
2010-09-17,59.44,59.7,58.98,59.59,2109794
2010-09-20,59.65,60.82,59.39,60.65,1213088
2010-09-21,60.55,61.0,60.2,60.44,1518536
2010-09-22,60.58,60.75,59.68,60.03,1053258
2010-09-23,59.54,59.8,58.34,58.5,1299612
2010-09-24,59.36,60.81,59.21,60.51,1409177
2010-09-27,60.19,60.36,59.67,59.97,1454053
2010-09-28,59.98,61.39,59.62,61.23,1413171
2010-09-29,60.79,61.18,60.47,60.75,865400
2010-09-30,61.25,61.76,60.54,61.28,1662969
2010-10-01,61.95,62.34,61.27,62.02,1516134
2010-10-04,61.68,62.68,61.22,61.96,1292309
2010-10-05,62.22,63.23,62.21,62.64,1760247
2010-10-06,62.62,62.89,61.7,62.14,1356203
2010-10-07,62.41,62.53,61.12,61.9,1045655
2010-10-08,62.11,62.9,61.8,62.7,1273430
2010-10-11,62.76,62.94,62.49,62.73,788084
2010-10-12,62.65,63.18,61.94,62.97,800278
2010-10-13,63.3,64.21,63.04,63.77,1554600
2010-10-14,63.74,63.75,62.68,62.99,1395067
2010-10-15,63.26,63.67,61.2,62.13,2158205
2010-10-18,62.34,63.9,62.34,63.54,1838937
2010-10-19,62.59,63.67,62.19,62.36,1864156
2010-10-20,62.86,63.21,60.75,61.32,4757477
2010-10-21,61.69,61.83,59.63,60.14,3355854
2010-10-22,60.2,61.26,60.14,61.11,2235412
2010-10-25,61.69,62.29,60.65,60.8,1234558
2010-10-26,60.5,61.15,60.0,60.06,1087730
2010-10-27,59.59,60.08,58.88,60.05,1166841
2010-10-28,60.51,61.04,60.22,60.87,1700493
2010-10-29,60.94,62.04,60.94,61.97,2623537
2010-11-01,60.55,61.5,60.23,61.22,3861887
2010-11-02,62.02,62.35,61.23,61.57,4840570
2010-11-03,61.6,61.85,60.78,61.81,2252812
2010-11-04,62.51,63.37,62.26,62.8,2212798
2010-11-05,62.92,63.1,62.53,63.02,1800936
2010-11-08,62.32,62.94,62.22,62.79,1187778
2010-11-09,63.18,63.18,61.52,61.86,1401546
2010-11-10,61.93,62.33,61.78,61.97,2030151
2010-11-11,61.48,62.19,61.2,61.87,1553751
2010-11-12,61.29,61.95,60.56,60.88,953001
2010-11-15,61.24,61.61,60.55,60.7,1410657
2010-11-16,60.36,60.83,58.99,59.5,2090072
2010-11-17,59.49,60.24,59.3,59.59,1300252
2010-11-18,60.15,60.4,59.75,59.91,1459293
2010-11-19,60.06,60.08,59.26,59.63,1325400
2010-11-22,59.31,59.86,58.96,59.59,1244465
2010-11-23,58.74,59.03,58.34,58.71,1733559
2010-11-24,59.31,60.91,59.19,60.91,1923041
2010-11-26,60.38,60.68,59.9,60.45,374210
2010-11-29,59.84,60.52,58.82,60.34,926209
2010-11-30,59.6,59.94,59.21,59.53,2215569
2010-12-01,60.17,61.28,59.89,60.44,2896608
2010-12-02,60.6,62.77,60.59,62.41,4700936
2010-12-03,62.04,62.51,61.78,62.37,1535022
2010-12-06,62.07,62.45,61.74,62.2,1169715
2010-12-07,62.95,63.49,62.66,63.15,2303042
2010-12-08,63.12,63.55,62.68,63.36,1665113
2010-12-09,63.82,64.06,63.36,63.77,1701814
2010-12-10,63.81,64.75,63.52,64.28,2623100
2010-12-13,64.33,64.52,63.52,63.62,1768484
2010-12-14,63.86,64.45,63.81,64.17,1597053
2010-12-15,64.12,64.54,63.57,63.66,3353668
2010-12-16,63.52,63.91,62.99,63.22,1811867
2010-12-17,62.56,63.59,62.41,63.37,2058800
2010-12-20,64.13,65.85,63.88,65.6,2713253
2010-12-21,65.76,66.63,65.57,66.4,1604665
2010-12-22,66.52,67.17,66.31,67.17,1391521
2010-12-23,67.02,67.63,66.92,67.07,1293231
2010-12-27,66.99,67.7,66.7,67.29,998781
2010-12-28,67.32,67.35,66.76,67.16,849826
2010-12-29,67.27,67.7,67.02,67.15,987874
2010-12-30,67.09,67.5,67.04,67.15,797505
2010-12-31,67.06,67.36,66.7,66.87,888336
2011-01-03,67.4,68.23,67.09,68.07,1095665
2011-01-04,68.15,68.15,67.17,67.81,1140177
2011-01-05,67.16,68.29,66.78,67.26,1469960
2011-01-06,67.43,67.61,66.4,66.53,1156580
2011-01-07,66.37,67.23,65.37,65.5,1646692
2011-01-10,65.25,65.98,64.83,65.75,1134575
2011-01-11,66.13,68.13,66.0,67.77,1649786
2011-01-12,68.08,68.3,67.56,68.03,1281454
2011-01-13,68.05,68.46,67.57,67.93,869789
2011-01-14,67.69,68.49,67.28,68.15,979278
2011-01-18,68.12,68.27,67.68,68.1,896586
2011-01-19,67.98,68.16,65.75,65.96,1849720
2011-01-20,65.91,66.34,65.16,65.91,1586338
2011-01-21,66.56,67.72,66.37,66.46,1733931
2011-01-24,66.43,66.43,65.43,66.07,1652989
2011-01-25,65.97,66.99,65.58,66.38,1046406
2011-01-26,66.66,68.39,66.33,66.95,1835058
2011-01-27,69.33,73.49,68.59,72.62,6772520
2011-01-28,71.69,72.81,71.69,72.72,3074751
2011-01-31,71.97,73.11,71.64,72.68,2198085
2011-02-01,73.04,73.8,72.77,72.88,1336821
2011-02-02,72.81,73.47,72.34,72.84,1171204
2011-02-03,72.82,73.12,71.83,71.93,1669522
2011-02-04,72.15,72.59,71.66,72.52,981661
2011-02-07,72.8,73.21,72.45,72.91,2499977
2011-02-08,72.77,73.43,72.53,73.4,1337227
2011-02-09,72.98,73.37,72.5,72.84,989666
2011-02-10,72.54,73.49,72.51,73.32,906677
2011-02-11,73.11,74.15,72.49,74.09,931234
2011-02-14,73.31,74.05,73.2,73.48,876172
2011-02-15,73.09,73.37,72.77,73.25,1187316
2011-02-16,73.79,74.37,73.52,73.93,1032600
2011-02-17,74.08,75.0,73.89,74.95,1004123
2011-02-18,75.22,76.8,75.15,76.09,1820762
2011-02-22,75.45,75.89,74.0,74.15,1457584
2011-02-23,73.72,74.25,71.51,72.55,1968275
2011-02-24,72.74,74.36,72.14,74.23,2400098
2011-02-25,74.66,75.64,74.31,75.11,1887427
2011-02-28,75.4,76.13,75.3,75.83,1420702
2011-03-01,76.01,76.45,74.13,74.36,1065625
2011-03-02,74.28,75.1,74.08,74.51,1355835
2011-03-03,75.0,75.95,74.99,75.69,1809284
2011-03-04,75.96,76.76,74.74,75.86,1567113
2011-03-07,76.0,76.85,74.62,74.94,2005758
2011-03-08,74.94,77.27,74.94,77.22,1670653
2011-03-09,76.9,77.38,76.21,76.88,1088862
2011-03-10,76.01,76.25,75.02,75.36,1259315
2011-03-11,74.72,75.8,74.51,75.55,1179450
2011-03-14,75.1,75.44,73.81,75.0,1358089
2011-03-15,72.97,74.69,72.43,74.23,1421583
2011-03-16,74.11,74.69,72.22,72.71,1646827
2011-03-17,73.89,74.44,73.18,73.46,1231075
2011-03-18,74.46,74.75,74.1,74.47,1923690
2011-03-21,75.5,76.45,75.18,75.55,1084257
2011-03-22,75.61,75.62,74.74,74.81,960483
2011-03-23,74.63,75.73,74.27,75.37,911216
2011-03-24,76.13,76.13,75.07,75.9,1112242
2011-03-25,76.21,77.44,75.99,76.83,1503657
2011-03-28,76.87,77.04,75.83,75.86,985336
2011-03-29,75.88,76.77,75.18,76.77,929002
2011-03-30,77.27,77.31,76.72,76.8,1358076
2011-03-31,76.7,76.92,76.06,76.6,1169989
2011-04-01,77.33,77.47,76.42,76.68,1205558
2011-04-04,76.68,76.83,75.25,75.65,1384967
2011-04-05,75.34,76.1,74.92,75.41,1278521
2011-04-06,75.65,76.18,75.06,75.46,888780
2011-04-07,75.42,75.94,75.01,75.59,974615
2011-04-08,76.09,76.1,74.46,74.71,1463188
2011-04-11,74.85,75.24,74.39,74.84,1070035
2011-04-12,74.25,74.71,73.31,73.96,1617650
2011-04-13,74.45,75.31,74.41,74.89,2178986
2011-04-14,74.4,75.99,74.35,75.88,1411459
2011-04-15,76.04,77.38,75.89,77.04,2115399
2011-04-18,76.11,76.31,74.97,75.63,2030861
2011-04-19,75.8,76.36,75.59,76.0,1613936
2011-04-20,76.93,77.2,76.06,76.6,1615690
2011-04-21,76.86,77.28,76.51,76.79,1042263
2011-04-25,76.69,76.79,76.0,76.6,929840
2011-04-26,76.76,78.19,76.54,77.29,2470735
2011-04-27,75.8,75.97,73.43,75.32,5257743
2011-04-28,75.39,75.81,74.35,74.55,2061700
2011-04-29,74.53,74.79,72.06,72.65,3801351
2011-05-02,73.11,73.14,72.4,72.64,1931457
2011-05-03,72.57,72.84,71.12,71.62,2284672
2011-05-04,71.81,72.8,71.36,72.28,2488038
2011-05-05,71.9,74.7,71.75,74.0,4033447
2011-05-06,74.84,75.62,73.29,73.59,2369089
2011-05-09,73.5,74.34,73.02,73.83,2072408
2011-05-10,73.94,75.81,73.94,75.62,1610679
2011-05-11,75.64,75.69,74.37,75.06,1861209
2011-05-12,74.9,75.27,74.14,74.8,1560416
2011-05-13,74.98,75.02,73.64,74.06,1152312
2011-05-16,73.58,74.77,73.43,73.63,1400141
2011-05-17,73.47,73.78,72.59,73.31,1518233
2011-05-18,73.55,75.41,73.33,75.36,1773097
2011-05-19,75.63,76.39,75.23,75.84,1141964
2011-05-20,75.72,75.79,75.06,75.37,1138090
2011-05-23,74.32,74.32,73.03,73.41,1080007
2011-05-24,73.54,73.67,71.55,71.67,2232046
2011-05-25,71.39,72.34,71.03,72.11,1451842
2011-05-26,71.96,74.13,71.67,73.97,1764757
2011-05-27,73.87,74.43,73.03,73.37,1443182
2011-05-31,74.02,74.48,73.26,73.88,2628964
2011-06-01,73.74,73.81,70.25,70.45,2499159
2011-06-02,70.77,71.55,70.39,70.8,1856076
2011-06-03,69.81,69.81,68.34,68.93,2499959
2011-06-06,68.76,69.25,68.34,68.6,1574040
2011-06-07,68.94,70.15,68.13,69.65,2233193
2011-06-08,69.28,69.55,68.41,68.48,1326481
2011-06-09,68.47,69.28,68.12,68.86,1045105
2011-06-10,68.63,68.73,66.94,67.14,1428535
2011-06-13,67.56,67.89,66.53,66.72,1219360
2011-06-14,67.27,68.85,67.21,68.69,1240406
2011-06-15,67.91,68.5,67.68,67.73,1899744
2011-06-16,67.45,68.64,66.91,68.22,1815136
2011-06-17,68.87,69.33,68.15,68.29,1824387
2011-06-20,67.87,68.93,67.21,68.83,1356478
2011-06-21,69.33,70.19,69.25,69.94,1139667
2011-06-22,69.95,70.04,69.37,69.63,1624000
2011-06-23,68.71,71.07,68.52,71.06,2203203
2011-06-24,70.94,71.12,69.1,69.28,1923803
2011-06-27,70.94,71.01,69.29,69.5,2804046
2011-06-28,69.72,70.05,69.47,69.59,1782867
2011-06-29,69.98,70.29,69.31,70.25,1917779
2011-06-30,70.54,72.08,70.47,72.05,1738805
2011-07-01,72.17,74.53,71.8,73.67,1976016
2011-07-05,73.67,74.19,73.21,73.9,1530823
2011-07-06,73.72,74.2,73.12,74.06,1380168
2011-07-07,74.9,75.67,74.9,75.33,1761469
2011-07-08,74.34,74.57,73.83,74.49,1175175
2011-07-11,73.73,73.77,72.09,72.44,1466952
2011-07-12,72.23,72.38,71.03,71.15,2513536
2011-07-13,71.33,71.8,70.35,71.1,1777388
2011-07-14,71.27,71.3,68.83,68.99,2662096
2011-07-15,69.28,69.74,68.25,69.69,1648983
2011-07-18,69.52,70.03,67.94,68.61,1907650
2011-07-19,68.93,69.96,67.61,67.94,3309876
2011-07-20,68.5,69.44,67.95,69.28,1640574
2011-07-21,69.77,70.16,68.92,69.0,1466175
2011-07-22,69.03,70.11,68.6,70.1,2949118
2011-07-25,69.24,70.67,68.67,68.9,1068092
2011-07-26,68.65,68.92,67.63,67.78,1669246
2011-07-27,67.27,67.52,65.23,65.28,2222009
2011-07-28,65.43,66.97,64.76,64.85,1657424
2011-07-29,64.05,66.18,63.91,65.77,3446112
2011-08-01,66.56,66.6,64.55,65.43,1831193
